,batter_id,team,first_name,last_name
9495,641355,LAD,Cody,Bellinger
9498,461314,LAD,Matt,Kemp
9503,571970,LAD,Max,Muncy
9506,592626,LAD,Joc,Pederson
9510,400284,LAD,Chase,Utley
9514,571771,LAD,Enrique,Hernandez
9545,477132,LAD,Clayton,Kershaw
9694,605131,LAD,Austin,Barnes
9706,523253,LAD,Logan,Forsythe
9719,622072,LAD,Alex,Wood
9900,621111,LAD,Walker,Buehler
9967,493596,SEA,Gordon,Beckham
10349,457759,LAD,Justin,Turner
10402,624577,LAD,Yasiel,Puig
11187,642082,BAL,Chance,Sisco
11191,641820,BAL,Trey,Mancini
11194,448801,BAL,Chris,Davis
11200,444432,BAL,Mark,Trumbo
11206,592518,BAL,Manny,Machado
11212,430945,BAL,Adam,Jones
11216,542921,BAL,Tim,Beckham
11220,607054,BAL,Jace,Peterson
11225,592859,BAL,Steve,Wilkerson
11339,458675,BAL,Colby,Rasmus
11343,502143,BAL,Danny,Valencia
11363,543376,BAL,Caleb,Joseph
11493,570731,BAL,Jonathan,Schoop
11591,571788,BOS,Brock,Holt
11593,593428,BOS,Xander,Bogaerts
11598,519048,BOS,Mitch,Moreland
11601,502110,BOS,J.D.,Martinez
11606,643217,BOS,Andrew,Benintendi
11608,605141,BOS,Mookie,Betts
11611,598265,BOS,Jackie,Bradley
11614,543877,BOS,Christian,Vazquez
11617,646240,BOS,Rafael,Devers
11764,506702,BOS,Sandy,Leon
11769,456488,BOS,Eduardo,Nunez
11899,596119,BOS,Blake,Swihart
11910,624407,BOS,Tzu-Wei,Lin
12032,641531,KC,Hunter,Dozier
12037,521692,KC,Salvador,Perez
12041,594011,KC,Rosell,Herrera
12045,593160,KC,Whit,Merrifield
12048,609275,KC,Adalberto,Mondesi
12052,501659,KC,Abraham,Almonte
12059,460086,KC,Alex,Gordon
12063,444876,KC,Alcides,Escobar
12071,446263,KC,Lucas,Duda
12162,581527,TOR,Devon,Travis
12164,571912,TOR,Luke,Maile
12170,434778,TOR,Kendrys,Morales
12174,607680,TOR,Kevin,Pillar
12178,475253,TOR,Justin,Smoak
12183,456665,TOR,Steve,Pearce
12187,500208,TOR,Yangervis,Solarte
12192,606192,TOR,Teoscar,Hernandez
12193,434158,TOR,Curtis,Granderson
12200,649557,TOR,Aledmys,Diaz
12351,545341,TOR,Randal,Grichuk
12358,431145,TOR,Russell,Martin
12604,666971,TOR,Lourdes,Gurriel
12758,571875,ARI,Jake,Lamb
12765,502481,ARI,Jarrod,Dyson
13457,519295,OAK,Jake,Smolinski
13949,592696,MIN,Eddie,Rosario
13953,543257,MIN,Robbie,Grossman
13957,501303,MIN,Ehire,Adrianza
13962,595909,MIN,Jake,Cave
13964,641598,MIN,Mitch,Garver
13967,596146,MIN,Max,Kepler
13971,593934,MIN,Miguel,Sano
13972,489149,MIN,Logan,Morrison
14107,572821,MIN,Brian,Dozier
14152,435064,MIN,Bobby,Wilson
14405,572365,KC,Ryan,Goins
14420,624585,KC,Jorge,Soler
14428,519058,KC,Mike,Moustakas
14557,460077,KC,Drew,Butera
15286,553988,DET,Dixon,Machado
15298,518902,DET,Pete,Kozma
15444,606988,DET,Grayson,Greiner
15866,650402,NYY,Gleyber,Torres
15871,609280,NYY,Miguel,Andujar
15873,595885,NYY,Greg,Bird
15879,543305,NYY,Aaron,Hicks
15882,544369,NYY,Didi,Gregorius
15885,596142,NYY,Gary,Sanchez
15892,519317,NYY,Giancarlo,Stanton
15897,592450,NYY,Aaron,Judge
15901,458731,NYY,Brett,Gardner
15903,435522,NYY,Neil,Walker
16026,519222,NYY,Austin,Romine
16207,592122,NYY,Tyler,Austin
16308,518626,TOR,Josh,Donaldson
16312,596105,TOR,Dwight,Smith
16321,570482,TOR,Gio,Urshela
16702,608654,TB,Johnny,Field
16719,543543,TB,Brad,Miller
16722,467092,TB,Wilson,Ramos
16865,608701,TB,Rob,Refsnyder
16906,624414,TB,Christian,Arroyo
17332,588751,TB,Adeiny,Hechavarria
17546,605233,HOU,Derek,Fisher
17776,408045,MIN,Joe,Mauer
17817,463610,MIN,Gregorio,Petit
17891,621439,MIN,Byron,Buxton
18389,593495,COL,Daniel,Castro
18458,571595,COL,Noel,Cuevas
18486,542881,COL,Tyler,Anderson
18592,592351,COL,Jon,Gray
19105,623993,BAL,Anthony,Santander
19113,476883,BAL,Pedro,Alvarez
19272,502226,BAL,Craig,Gentry
19283,622713,BAL,Engelb,Vielma
19675,591720,NYY,Ronald,Torreyes
20446,446334,SF,Evan,Longoria
20447,457763,SF,Buster,Posey
20450,457705,SF,Andrew,McCutchen
20456,474832,SF,Brandon,Belt
20457,605412,SF,Joe,Panik
20460,453923,SF,Gregor,Blanco
20464,543063,SF,Brandon,Crawford
20469,491676,SF,Gorkys,Hernandez
20476,467055,SF,Pablo,Sandoval
20505,607776,SF,Mac,Williamson
20647,460026,SF,Nick,Hundley
20677,457706,SF,Austin,Jackson
20817,605509,SF,Kelby,Tomlinson
20955,434670,BOS,Hanley,Ramirez
21480,449181,KC,Paulo,Orlando
21653,596144,KC,Cheslor,Cuthbert
21676,595956,KC,Cam,Gallagher
21912,607387,TEX,Ryan,Rua
22542,622194,OAK,Bruce,Maxwell
22707,621471,OAK,Boog,Powell
22848,570481,CLE,Erik,Gonzalez
22870,605548,CLE,Bradley,Zimmer
22874,502082,CLE,Lonnie,Chisenhall
22952,434658,CLE,Rajai,Davis
23102,571980,CLE,Tyler,Naquin
0,621493,LAA,Taylor,Ward
3,527043,LAA,Jefry,Marte
8,660271,LAA,Shohei,Ohtani
12,641684,LAA,Michael,Hermosillo
16,518466,LAA,Jabari,Blash
17,582473,LAA,Sherman,Johnson
20,516472,LAA,Francisco,Arcia
26,592230,LAA,Kaleb,Cowart
29,458913,LAA,Eric,Young
58,621529,LAA,Joe,Hudson
121,545361,LAA,Mike,Trout
127,594777,LAA,Kole,Calhoun
146,592743,LAA,Andrelton,Simmons
149,457708,LAA,Justin,Upton
160,628336,LAA,Jose,Fernandez
208,593993,LAA,Jose,Briceno
861,460269,MIN,Chris,Gimenez
881,593871,MIN,Jorge,Polanco
1000,553902,MIN,Willians,Astudillo
1709,664040,TB,Brandon,Lowe
1842,624419,TB,Nick,Ciuffo
2128,621466,BAL,DJ,Stewart
2148,542340,BAL,Jonathan,Villar
2155,572073,BAL,Joey,Rickard
2160,656775,BAL,Cedric,Mullins
2165,591971,BAL,Breyvic,Valera
2168,607430,BAL,John,Andreoli
2170,600524,BAL,Renato,Nunez
2270,642851,BAL,Austin,Wynns
2379,543377,BAL,Corban,Joseph
2931,572228,NYY,Luke,Voit
2943,642180,NYY,Tyler,Wade
6224,664058,LAA,David,Fletcher
6232,405395,LAA,Albert,Pujols
7380,572182,TOR,Darnell,Sweeney
7381,592273,TOR,Brandon,Drury
7830,608596,COL,Tom,Murphy
7861,608566,COL,German,Marquez
7864,642162,COL,Pat,Valaika
7984,641658,COL,Garrett,Hampson
8006,622608,COL,Antonio,Senzatela
8131,607536,COL,Kyle,Freeland
8841,488818,SF,Chase,d'Arnaud
8842,593700,SF,Alen,Hanson
8843,621453,SF,Steven,Duggar
8848,596103,SF,Austin,Slater
8989,452254,SF,Hunter,Pence
9168,624507,SF,Ryder,Jones
9387,605498,SF,Andrew,Suarez
9538,502188,SF,Jeff,Samardzija
9640,518516,SF,Madison,Bumgarner
10317,656185,CLE,Greg,Allen
10777,641319,SD,Carlos,Asuaje
12237,605508,CWS,Charlie,Tilson
12796,519333,SD,Matt,Szczur
12799,607257,SD,Raffy,Lopez
12880,641778,SD,Eric,Lauer
12949,435079,LAA,Ian,Kinsler
12952,455759,LAA,Chris,Young
12956,472528,LAA,Luis,Valbuena
13267,545337,LAA,Nolan,Fontana
13909,593527,KC,Ramon,Torres
15637,593647,ARI,Socrates,Brito
15833,572008,ARI,Chris,Owings
16475,620446,TOR,Richard,Urena
18953,400085,SEA,Ichiro,Suzuki
19630,518542,TEX,Juan,Centeno
20981,605357,SEA,Mike,Marjama
20987,600301,SEA,Taylor,Motter
21405,571657,LAD,Kyle,Farmer
21449,608369,LAD,Corey,Seager
21637,547943,LAD,Hyun-Jin,Ryu
21706,572114,LAA,Ryan,Schimpf
21738,446359,LAA,Zack,Cozart
21884,425784,LAA,Rene,Rivera
530,641856,TOR,Billy,McKinney
533,542932,TOR,Jon,Berti
540,624512,TOR,Reese,McGuire
549,642133,TOR,Rowdy,Tellez
676,643376,TOR,Danny,Jansen
702,641505,TOR,Jonathan,Davis
1846,545121,ARI,Ildemaro,Vargas
1952,572233,ARI,Christian,Walker
1960,623182,ARI,Patrick,Kivlehan
2231,621514,DET,Christin,Stewart
2246,608475,DET,Dawel,Lugo
2284,543484,DET,Mikie,Mahtook
2741,408252,BOS,Brandon,Phillips
6970,605446,SF,Dereck,Rodriguez
7285,628317,LAD,Kenta,Maeda
7456,572227,SEA,Zach,Vincej
8392,606132,COL,Raimel,Tapia
14821,607752,BOS,Sam,Travis
16721,622497,SF,Miguel,Gomez
18559,571863,ARI,Matt,Koch
18647,571918,ARI,Deven,Marrero
18713,425844,ARI,Zack,Greinke
18828,519008,ARI,T.J.,McFarland
18861,450665,ARI,Kris,Medlen
20402,572204,CWS,Trayce,Thompson
21634,488771,MIN,Jason,Castro
22110,452104,SD,Chase,Headley
6,623205,TB,Andrew,Velazquez
14,446192,TB,Adam,Moore
21,640457,TB,Austin,Meadows
